Category,Original Formula,Original N,Original Median,Original Mean,Original Stdv.,Original Correct,Rewritten Formula,Rewritten N,Rewritten Median,Rewritten Mean,Rewritten Stdv.,Rewritten Correct
ELIMINATE_NEGATION,((A & B & !C & !D & !E) -> !F),5,11651.100000000093,11877.479999996442,1526.747515980443,4,((A & B & F) -> (C | D | E)),5,13980.89999999106,14310.920000000671,6884.250698339171,4
ELIMINATE_NEGATION,((A & !B) -> (!C & !D)),8,16637.95000000298,20782.300000026822,11316.123304158613,5,((C | D) -> (A -> B)),8,20807.350000023842,21832.58750001341,6748.606489002381,6
ELIMINATE_NEGATION,!(A & !B & !C & D),10,13608.35000000894,15251.019999996573,4035.772888007006,10,((A & D) -> (B | C)),10,10867.09999999404,13210.85999999903,7784.181493412735,7
ELIMINATE_NEGATION,(!(A | B) -> !(C | D | (E & F))),6,26154.64999999106,23729.116666659713,9554.884031819047,4,((C | D | (E & F)) -> (A | B)),6,21483.0,23763.0,8608.34626471703,6
ELIMINATE_NEGATION,(!A -> (!B & !C & !D)),7,12932.600000023842,20082.700000007237,11390.454876274809,7,((B | C | D) -> A),7,6753.000000000058,11482.52857142475,7153.896946965015,7
ELIMINATE_NEGATION,((A & !B & !C) -> (!D | !E)),6,18242.95000000298,16893.73333333681,5144.728958738635,3,((A & D & E) -> (B | C)),6,14185.550000011921,17616.700000000495,10804.352681055585,3
ELIMINATE_NEGATION,(!(A | B) -> !(C | D | E | F)),10,28963.650000065565,26802.830000016093,10521.753664664036,8,((C | D | E | F) -> (A | B)),10,18140.95000009425,23099.760000015795,10296.438203290692,10
ELIMINATE_NEGATION,((A & !B & !C) -> D),7,19427.90000000596,24430.042857136843,13270.85422278379,4,(A -> (B | C | D)),7,13412.5,15184.54285713498,7340.775830311578,7
ELIMINATE_NEGATION,((A & B & !C & !D & !E) -> F),9,12976.0,14826.555555543138,6682.484192645627,8,((A & B) -> (C | D | E | F)),9,20229.599999997765,18327.6555555467,8151.059619343527,7
ELIMINATE_NEGATION,((!A & !B & C) -> D),7,12375.300000011921,13730.528571415793,5727.739351060003,7,(C -> (A | B | D)),7,11064.0,13988.057142856289,5445.587603303247,6
ELIMINATE_NEGATION,((A & !B) -> (C | !D)),11,14622.099999904633,16558.854545437473,5691.721259442883,6,((A & D) -> (B | C)),11,15414.0,16651.581818181847,6592.8542647463855,9
ELIMINATE_NEGATION,!(!A & !B & C & D),5,18987.69999998808,20780.399999998812,7011.670081515231,5,((C & D) -> (A | B)),5,13784.40000000596,18846.060000004178,10957.095928498964,5
ELIMINATE_NEGATION,((!A & !B & !C) -> (D <-> E)),12,23284.60000000149,24672.566666706884,11663.313137156994,11,(A | B | C | (D <-> E)),12,11828.500000095402,13474.000000013417,4804.337898699716,12
ELIMINATE_NEGATION,!(A & B & !C & D),9,19769.300000190735,24084.34444451984,13259.84579814543,9,((A & B & D) -> C),9,14085.800000011921,17561.333333313363,12430.817231114557,8
ELIMINATE_NEGATION,!(!A & B & !C & D),8,19269.750000011176,18717.249999982305,3265.71839989088,8,((B & D) -> (A | C)),8,19257.40000000596,22579.274999985937,10253.529055378312,7
ELIMINATE_NEGATION,((!A & !B & !C) -> D),6,17348.200000005978,22057.69999998908,8672.089233647717,5,(A | B | C | D),6,8220.199999999983,9294.483333323393,4592.221824076561,6
ELIMINATE_NEGATION,((!A & !B & C & D) -> E),5,24467.600000023842,21371.30000002049,9576.205711678322,5,((C & D) -> (A | B | E)),5,19965.700000001118,19554.940000024064,12093.455644902722,5
ELIMINATE_NEGATION,((A & !B & !C) -> !D),6,13469.200000006706,14954.833333384246,6869.727440255551,5,((A & D) -> (B | C)),6,11031.75,12204.016666665673,4869.345543094655,5
ELIMINATE_NEGATION,((!A & (B | C)) -> !D),13,18733.0,19026.57692306786,6441.8409881799125,12,(((B | C) & D) -> A),13,14184.0,18618.70769231734,12717.069604447732,11
REDUCE_NEGATION_COUNT,((A <-> (B & !C)) | (C & !D)),18,27941.05000000447,24854.283333337,9131.431534494985,13,((C -> D) -> (A <-> (B & !C))),18,26702.80000001192,26171.81111111003,9332.570519003155,16
REDUCE_NEGATION_COUNT,(A -> (!B & !C & D)),30,15300.949999988079,16241.99999999646,6669.412461173755,25,((D -> (B | C)) -> !A),30,23926.80000001192,26766.756666667512,13547.137590175782,25
REDUCE_NEGATION_COUNT,((A <-> (B & C & !D)) | (D & !E)),20,25666.250000178814,29768.970000015746,14006.897421123418,14,((D -> E) -> (A <-> (B & C & !D))),20,24500.05000001192,31902.694999984134,27413.3275854715,17
REDUCE_NEGATION_COUNT,(A -> (B & !C & !D)),18,18880.099999934435,22413.644444443285,11514.68187416423,13,((B -> (C | D)) -> !A),18,24321.75,24152.705555581386,9740.390910575394,14
REDUCE_NEGATION_COUNT,((A & !B) -> (!C & D)),23,13592.0,16423.04347824479,8267.978019290364,18,((A -> B) | (!C & D)),23,17783.900000035763,19291.200000018594,9216.241187579759,20
REDUCE_NEGATION_COUNT,(!A -> ((B & !C) <-> D)),23,20837.0,23163.860869558204,11971.774755970699,20,(A | ((B & !C) <-> D)),23,16336.300000190735,22015.47826088538,18484.30309007963,20
REDUCE_NEGATION_COUNT,((A <-> (B & C & D & !E)) | (E & !F)),23,27720.19999998808,27918.6434782485,10567.942194492307,20,((E -> F) -> (A <-> (B & C & D & !E))),23,26437.0,30311.908695649225,15994.045135047028,17
REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF,((A | B) -> (C & !D & !E)),18,18731.149999999907,18601.633333331232,5060.696460082904,16,((A | B) -> !(C -> (D | E))),18,20476.799999999814,24460.9222222222,10291.248455816249,15
REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF,(A <-> ((B & C & D & !E) | (E & !F))),17,24391.899999976158,26227.152941172393,11734.480396168585,14,(A <-> !(((B & C & D) -> E) & (E -> F))),17,30691.700000047684,31689.064705883757,15827.335073473434,7
REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF,((A -> !B) & (C -> !D)),16,15320.25,18110.906250020722,9667.465811208189,15,!((A & B) | (C & D)),16,16954.950000047684,19976.23125001765,8253.640320450051,14
REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF,(!A & !B & !C & !D & !E),15,18565.0,21020.87999998969,11829.703828478112,15,!(A | B | C | D | E),15,13552.0,12186.340000003062,3629.934051718843,14
REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF,(A -> (!B & !C & !D)),15,14449.599999999977,14261.246666687704,5487.819937932498,13,(A -> !(B | C | D)),15,14290.899999976158,17793.200000010795,8933.811124571022,12
REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF,((A -> !B) & (A -> !C) & (A -> !D) & (A -> !E)),16,22604.200000002224,27992.412500027513,15437.512270678282,12,!(A & (B | C | D | E)),16,23935.54999999993,24557.912500021783,12417.064927840553,16
REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF,(!A & !B & !C & !D),12,14308.200000077486,15988.341666684797,7663.76772389804,11,!(A | B | C | D),12,12637.649999968708,13505.316666644067,6485.624168106141,10
REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF,(A <-> ((B & C & !D) | (D & !E))),15,22836.20000000298,24082.720000002286,10454.346646711088,13,(A <-> !(((B & C) -> D) & (D -> E))),15,33196.69999998808,33480.32666666359,14210.301477145704,10
REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF,((!A & !B & !C) | (!A & !B & !D) | (!A & !C & !D) | (!B & !C & !D)),10,31934.60000000056,33892.340000016055,20092.213392272337,8,!((A | B | C) & (A | B | D) & (A | C | D) & (B | C | D)),10,36220.650000002235,36007.33000002317,11907.723962090364,9
REDUCE_NEGATION_COUNT_INCREASE_NEGATION_LEVEL_TRADEOFF,(A -> (!B & !C & (D | E | F))),16,16201.449999988079,19060.54374999611,10013.178997497815,12,(A -> (!(B | C) & (D | E | F))),16,24586.39999999106,25641.58750001411,9687.906122181637,12
REDUCE_NEGATION_LEVEL,((A & B) -> !(C | D)),24,13245.149999976158,15540.783333317842,8874.283411797434,20,((A & B) -> (!C & !D)),24,12424.5,14179.008333318247,6040.394588126365,23
REDUCE_NEGATION_LEVEL,(A -> (B -> (C -> !(D | E)))),25,18020.299999952316,23470.639999995976,18190.45564079971,19,(A -> (B -> (C -> (!D & !E)))),25,19542.200000047684,22748.48399999328,12737.283499918934,21
REDUCE_NEGATION_LEVEL,(A <-> !(B | C | D | E)),32,16014.850000023842,17771.95625000383,7210.063674203777,26,(A <-> (!B & !C & !D & !E)),32,16255.5,18673.100000003353,13466.632784356543,28
REDUCE_NEGATION_LEVEL,((A & !(B | C)) -> D),35,17529.0,21522.41714284666,10592.152960102738,28,((A & !B & !C) -> D),35,17437.0,20312.105714285306,10051.95935483625,33
REDUCE_NEGATION_LEVEL,((A & B & C) -> !(D | E)),36,18696.55000000447,20010.141666666183,9293.10947517338,30,((A & B & C) -> (!D & !E)),36,18225.700000047684,19803.258333336464,9428.378867396652,29
REDUCE_OPERATOR_COUNT,((A & B) | (C & B) | (D & B) | (E & B)),42,17658.65000002389,19803.6404761951,8925.933167574529,39,(B & (A | C | D | E)),42,13783.850000000093,14561.154761915215,5926.168277317309,40
REDUCE_OPERATOR_COUNT,((A -> !B) & (A -> !C) & (A -> !D) & (A -> !E)),35,21196.10000000894,25273.779999997667,16261.398851285378,28,(!A | (!C & !D & !B & !E)),35,13999.300000000745,16885.454285705862,11136.145781888734,33
REDUCE_OPERATOR_COUNT,((A & B) | (C & B) | (D & B)),39,18622.09999999404,21714.302564108413,10186.110820898552,34,(B & (A | C | D)),39,11850.0,15258.57692308533,10375.98267608918,37
REDUCE_OPERATOR_COUNT,((!A & !B & !C) | (!A & !B & !D) | (!A & !C & !D) | (!B & !C & !D)),37,26882.200000047684,28359.37027027571,12600.995410361696,32,((!A & !B & (!C | !D)) | ((!A | !B) & !C & !D)),37,34094.69999998808,32825.57297297197,13194.344697983066,32
REDUCE_OPERATOR_NESTING,(A -> ((B & C & D) -> !E)),20,19641.79999999702,23721.755000009794,14272.830122206928,11,(!A | !B | !C | !D | !E),20,15868.60000000149,23096.014999989973,28759.55479047657,19
REDUCE_OPERATOR_NESTING,((A & (B | C | D | E)) -> F),13,17802.69999998808,17040.984615405592,4641.761354187901,11,(!A | (!B & !C & !D & !E) | F),13,14878.900000002235,16863.25384617167,7551.292742485671,11
REDUCE_OPERATOR_NESTING,((A & !(B | C)) -> D),10,28746.5,36491.71000001491,21899.319191254493,10,(!A | B | C | D),10,8298.249999952503,10359.979999992298,4045.4185011735944,10
REDUCE_OPERATOR_NESTING,(A -> ((B & C) -> D)),11,16167.5,17888.736363662512,7658.438059973377,8,(!A | !B | !C | D),11,9155.599999964237,12552.54545456425,7292.909504131393,11
REDUCE_OPERATOR_NESTING,(A -> (B -> (C -> D))),12,20525.200000001118,21084.833333334263,8891.081974333974,6,(!A | !B | !C | D),12,11513.549999974668,12597.758333351774,5158.899878341896,10
REDUCE_OPERATOR_NESTING,(((A | B) & C) -> D),12,17131.75,18104.40833333383,6980.311477345532,11,((!A & !B) | !C | D),12,18535.60000000894,17930.05833333979,6865.859934643251,12
REDUCE_OPERATOR_NESTING,((!A & (B | C)) -> !D),14,16051.90000000596,21332.00000000692,13340.268639669364,13,(A | (!B & !C) | !D),14,12894.949999988079,17528.592857142114,10959.874004908286,14
REDUCE_OPERATOR_NESTING,((A & (B | C)) -> D),13,18138.0,19084.046153823918,7122.818096177935,8,(!A | (!B & !C) | D),13,13153.40000000596,13796.799999960345,7635.110832866653,13
REDUCE_OPERATOR_NESTING,(A -> (B -> (C -> !(D | E)))),20,22021.80000001192,22333.699999999255,9855.442972874393,15,(!A | !B | !C | (!D & !E)),20,12833.599999975413,13531.544999989866,5287.094795873276,19
REDUCE_OPERATOR_NESTING,(((A | B) & C) -> !D),14,18034.30000001192,18735.81428570859,6171.043790371681,11,((!A & !B) | !C | !D),14,14676.15000000596,16189.264285725674,5241.901858873169,14
REDUCE_OPERATOR_NESTING,(A -> (B -> ((C & D) -> E))),12,16953.15000001341,20567.108333318803,9998.086700387403,9,(!A | !B | !C | !D | E),12,11860.65000000596,11530.016666667536,3525.543577906535,11
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,((A <-> (B & !C)) | (C & !D)),10,26844.20000000298,27048.60999998301,9961.19099835387,9,((A & B & !C) | (!A & !B) | (!A & C) | (C & !D)),10,30944.70000000298,28111.990000009537,9181.000184757608,10
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,(A -> ((B & C) <-> !D)),12,17015.550000005984,21230.858333344757,14131.789493159537,11,(!A | (B & C & !D) | (!C & D) | (!B & D)),12,18304.900000000023,22402.883333346996,10245.95089135277,12
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,(A -> (!B & !C & (D | E | F))),16,12236.25,13975.08124998922,5725.716035476869,14,(!A | (!B & !C & D) | (!B & !C & E) | (!B & !C & F)),16,18577.999999955297,18301.06874998474,5769.258910449744,15
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,(A <-> ((B & C & !D) | (D & !E))),10,23040.30000001192,25102.80000001945,10756.454981298186,8,((A & B & C & !D) | (!A & !B & !D) | (!A & !C & !D) | (!A & D & E) | (A & D & !E)),10,38807.70000000298,41222.700000042234,15385.234187401402,9
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,(A <-> ((B & C & D & !E) | (E & !F))),10,23664.90000000596,25188.829999987596,9240.208282078931,9,((A & B & C & D & !E) | (!A & !B & !E) | (!A & !C & !E) | (!A & !D & !E) | (!A & E & F) | (A & E & !F)),10,32472.099999997823,33870.59999998762,11370.618275895173,7
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,((A & B) -> (C & (D | E))),14,16847.29999999702,20250.65000000117,12158.229980348575,11,(!(A & B) | (C & D) | (C & E)),14,19980.30000001192,21984.94285715245,8825.758133747575,11
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,((A <-> (B & C & D & !E)) | (E & !F)),14,24456.95000001788,24523.700000000852,8008.304848719943,10,((A & B & C & D & !E) | (!A & !B) | (!A & !C) | (!A & !D) | (!A & E) | (E & !F)),14,31526.800000026822,29673.757142857383,13933.230531344021,10
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,((A <-> (B & C & !D)) | (D & !E)),10,27871.349999971688,25685.14000000432,7682.0503862167025,9,((A & B & C & !D) | (!A & !B) | (!A & !C) | (!A & D) | (D & !E)),10,36349.64999997616,33154.33000000939,9973.672778765575,8
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,(!A -> ((B & !C) <-> D)),11,15501.0,22157.527272717518,15141.663687996015,9,(A | (B & !C & D) | (C & !D) | (!B & !D)),11,18888.100000023842,19536.300000036306,9724.052213175228,10
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,(!(A | B) -> !(C | D | (E & F))),11,26734.000000000116,23402.61818182876,8723.182184259855,9,(A | B | (!C & !D & !E) | (!C & !D & !F)),11,36486.0,32843.90909092568,20214.702422102728,11
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,(A -> ((B | C | D) & E)),12,20502.80000001192,19932.624999981064,7564.7250645208,11,(!A | (B & E) | (C & E) | (D & E)),12,21783.399999976158,24568.63333334013,11742.47498127782,10
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,((!A & !B & !C) -> (D <-> E)),15,22617.09999999404,23622.560000003876,10852.832052598094,11,(A | B | C | (!D & !E) | (D & E)),15,11181.099999904633,15379.46000000586,8623.935750556908,13
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_CNF,(A -> ((B | C | D) & (E | F))),10,16447.65000000596,18794.969999993587,8282.181333073348,10,(!A | (B & E) | (C & E) | (D & E) | (B & F) | (C & F) | (D & F)),10,19568.549999998882,21366.159999997548,13560.781022140713,9
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,(A -> ((B & C) <-> !D)),12,19097.350000023842,21652.90833333647,10719.526428472756,12,((!A | !B | !C | !D) & (!A | B | D) & (!A | C | D)),12,23280.34999999404,24853.0749999932,8103.708671564987,10
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,((A <-> (B & !C)) | (C & !D)),13,21189.69999998808,24444.75384616834,10799.785447409635,11,((A | !B | C) & (!A | B | C) & (!A | !C | !D)),13,26335.699999928474,27649.569230797217,11994.148582683527,12
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,(!A -> ((B & !C) <-> D)),13,17215.900000035763,20754.438461545567,10054.640852074946,9,((A | !B | C | D) & (A | B | !D) & (A | !C | !D)),13,20410.0,23281.261538443658,12343.029518379726,11
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,((A <-> (B & C & D & !E)) | (E & !F)),8,23837.199999999255,23417.749999991614,6451.570271265727,6,((A | !B | !C | !D | E) & (!A | B | E) & (!A | C | E) & (!A | D | E) & (!A | !E | !F)),8,32393.04999999702,39053.200000028126,15162.367657224568,7
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,(A -> ((B | C | D) & E)),9,13197.0,19382.011111130316,15293.666340120588,7,((!A | B | C | D) & (!A | E)),9,17805.90000000596,32630.16666665442,22739.092505843753,8
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,(A <-> ((B & C & !D) | (D & !E))),14,23357.649999946356,23588.678571421337,8154.927551410507,11,((A | !B | !C | D) & (A | !D | E) & (!A | B | D) & (!A | C | D) & (!A | !D | !E)),14,41666.05000000447,43985.749999996195,22269.785113261056,10
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,(A -> ((B | C | D) & (E | F))),15,18599.5,21305.533333336818,6824.0151937739,14,((!A | B | C | D) & (!A | E | F)),15,22530.0,24012.0799999933,8871.408545145603,13
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,((!A & !B & !C) -> (D <-> E)),14,20963.500000000044,22892.107142854486,8270.727447150179,14,((A | B | C | D | !E) & (A | B | C | !D | E)),14,20174.39999999851,24188.4071428531,12866.319832279689,13
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,((A <-> (B & C & !D)) | (D & !E)),13,29229.89999999851,29065.946153867873,9778.018640547685,11,((A | !B | !C | D) & (!A | B | D) & (!A | C | D) & (!A | !D | !E)),13,31237.800000000745,34078.90000000052,11639.204916952182,11
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,((A & B) -> (C & (D | E))),12,16129.799999982119,27513.999999969074,29596.221382717416,11,((!A | !B | D | E) & (!A | !B | C)),12,18690.19999998808,19708.76666664891,6117.357932866646,8
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,(A -> (!B & !C & (D | E | F))),9,18744.60000000149,24750.122222220733,14268.567807429572,6,((!A | D | E | F) & (!A | !C) & (!A | !B)),9,30649.89999985695,33707.04444443145,11365.103605079354,7
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,(A <-> ((B & C & D & !E) | (E & !F))),10,20017.000000017695,23470.449999983794,12467.164148381373,6,((A | !B | !C | !D | E) & (A | !E | F) & (!A | B | E) & (!A | C | E) & (!A | D | E) & (!A | !E | !F)),10,28535.40000000596,28685.119999982046,9495.73038211064,9
REDUCE_OPERATOR_NESTING_INCREASE_OPERATOR_COUNT_TRADEOFF_DNF,(!(A | B) -> !(C | D | (E & F))),11,21027.5,26786.97272727435,20292.219101828407,11,((A | B | !E | !F) & (A | B | !D) & (A | B | !C)),11,16726.20000001788,25613.39090908929,14222.804483977108,10
